,date_index,total,male,female,others,covishield,covaxin,today,tot_dose_1,tot_dose_2,total_doses,vac_18_25,vac_25_40,vac_40_60,above_60,aefi,today_dose_one,today_dose_two,today_male,today_female,today_others,today_aefi,sputnik,yesterday_vac,yesterday_dose_one,yesterday_dose_two,zycov,tot_pd,today_dose_pd,yesterday_dose_pd,corbevax,covovax,dates_vaccine
1,1,18360243,10044921,8313353,1967,16739804,1619279,1162374,14003206.0,4357037.0,22717280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-09
2,2,19538547,10707385,8829091,2069,17809439,1727948,1175187,14872785.0,4665762.0,24204309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-10
3,3,19953987,10937930,9013952,2103,18197567,1755220,408379,15204375.0,4749612.0,24703599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-11
4,4,21772159,11974143,9795767,2247,19860313,1910640,1817351,16612019.0,5160140.0,26932299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-12
5,5,23159604,12747867,10409393,2342,21148292,2010101,1381753,17698742.0,5460862.0,28620466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-13
6,6,23317750,12832126,10483269,2353,21298664,2017875,153934,17837716.0,5480034.0,28797784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-14
7,7,25618250,14090723,11524956,2569,23433592,2183445,2300150,19766466.0,5851784.0,31470034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-15
8,8,25709257,13993527,11713149,2581,29313725,2557019,1798467,25709257.0,6161488.0,31870745.0,1342665.0,6479989.0,8321177.0,9549294.0,14381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-16
9,9,30011328,16266085,13742026,3217,33620784,2875235,2030951,30011328.0,6484692.0,36496020.0,1369680.0,6580300.0,9106642.0,12938115.0,14662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-17
10,10,31952935,17311577,14637915,3443,35658703,3111700,2178001,31952935.0,6817469.0,38770404.0,1396294.0,6689910.0,9587964.0,14261942.0,14777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-18
11,11,34228371,18492473,15732206,3692,37977040,3332178,2349836,34228371.0,7080848.0,41309219.0,1425374.0,6793914.0,10165734.0,15826268.0,14896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-19
12,12,36568988,19688923,16876137,3928,40260683,3617184,2227481,36568988.0,7308880.0,43877868.0,1458151.0,6900440.0,10766621.0,17426476.0,15074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-20
13,13,37303458,20053560,17245870,4028,40934052,3711319,525764,37303458.0,7341914.0,44645372.0,1464725.0,6927638.0,10969933.0,17923778.0,15121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-21
14,14,39612614,21244939,18363361,4314,43178899,4025733,2491839,39612614.0,7592019.0,47204633.0,0.0,0.0,0.0,0.0,15234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-22
15,15,42148875,22532413,19611896,4566,45554897,4418254,2154655,42148875.0,7824277.0,49973152.0,0.0,0.0,0.0,0.0,15414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-23
16,16,44250191,23602891,20642500,4800,47460323,4755913,2181788,44250191.0,7966046.0,52216237.0,0.0,0.0,0.0,0.0,15533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-24
17,17,46454700,24744845,21704739,5116,49523912,5065307,2286219,46454700.0,8134520.0,54589220.0,0.0,0.0,0.0,0.0,15692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-25
18,18,48749313,25911744,22832194,5375,51657738,5363425,2379309,48749313.0,8271851.0,57021164.0,0.0,0.0,0.0,0.0,15827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-26
19,19,50865316,26976551,23883153,5612,53653625,5581810,2074948,50865316.0,8370120.0,59235436.0,0.0,0.0,0.0,0.0,15942.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-27
20,20,51179587,27137004,24036939,5644,53956699,5600420,240633,51179587.0,8377533.0,59557120.0,0.0,0.0,0.0,0.0,15968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-28
21,21,51774289,27427546,24341025,5718,54509817,5673246,600872,51774289.0,8408775.0,60183064.0,0.0,0.0,0.0,0.0,16014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-29
22,22,53429356,28257441,25165987,5928,56170007,5820234,1751465,53429356.0,8560886.0,61990242.0,0.0,0.0,0.0,0.0,16112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-30
23,23,55188803,29151242,26031409,6152,57956398,5979191,1814790,55188803.0,8746787.0,63935590.0,0.0,0.0,0.0,0.0,16261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-31
24,24,57443466,30321468,27115615,6383,60197476,6164245,2294254,57443466.0,8918256.0,66361722.0,0.0,0.0,0.0,0.0,16355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-04-01
25,25,60936753,32126426,28803529,6798,63675188,6415647,2405715,60936753.0,9154083.0,70090836.0,0.0,0.0,0.0,0.0,16677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-04-02
