,state_id,Title,Total,Partial vaccinated,Fully Vaccinated,Date
82,9,Delhi,498456,405286,93170,2021-03-10 17:30:10
83,10,Goa,47240,38480,8760,2021-03-10 17:30:10
84,11,Gujarat,1762840,1332129,430711,2021-03-10 17:30:10
85,12,Haryana,330710,239057,91653,2021-03-10 17:30:10
86,13,Himachal Pradesh,155805,101307,54498,2021-03-10 17:30:10
87,14,Jammu and Kashmir,336587,299203,37384,2021-03-10 17:30:10
88,15,Jharkhand,432167,328055,104112,2021-03-10 17:30:10
89,16,Karnataka,877753,580495,297258,2021-03-10 17:30:10
90,17,Kerala,954553,714209,240344,2021-03-10 17:30:10
91,18,Ladakh,22917,20419,2498,2021-03-10 17:30:10
92,19,Lakshadweep,1854,1535,319,2021-03-10 17:30:10
93,20,Madhya Pradesh,979908,703594,276314,2021-03-10 17:30:10
94,21,Maharashtra,1737955,1400984,336971,2021-03-10 17:30:10
95,22,Manipur,68967,61597,7370,2021-03-10 17:30:10
96,23,Meghalaya,54947,46973,7974,2021-03-10 17:30:10
97,24,Mizoram,41886,32113,9773,2021-03-10 17:30:10
98,25,Nagaland,37176,30252,6924,2021-03-10 17:30:10
99,26,Odisha,750609,521805,228804,2021-03-10 17:30:10
100,27,Puducherry,19605,16600,3005,2021-03-10 17:30:10
101,28,Punjab,262926,206746,56180,2021-03-10 17:30:10
102,29,Rajasthan,2078824,1682824,396000,2021-03-10 17:30:10
103,30,Sikkim,33728,27219,6509,2021-03-10 17:30:10
104,31,Tamil Nadu,819060,728406,90654,2021-03-10 17:30:10
105,32,Telangana,447681,256004,191677,2021-03-10 17:30:10
106,33,Tripura,125805,87999,37806,2021-03-10 17:30:10
107,34,Uttar Pradesh,1733341,1194063,539278,2021-03-10 17:30:10
108,35,Uttarakhand,240331,168955,71376,2021-03-10 17:30:10
109,36,West Bengal,1721128,1417046,304082,2021-03-10 17:30:10
110,37,Daman and Diu,5892,4887,1005,2021-03-10 17:30:10
111,1,Andaman and Nicobar Islands,10704,8218,2486,2021-03-11 18:02:11
112,2,Andhra Pradesh,789145,568487,220658,2021-03-11 18:02:11
113,3,Arunachal Pradesh,44468,32906,11562,2021-03-11 18:02:11
114,4,Assam,460926,384883,76043,2021-03-11 18:02:11
115,5,Bihar,951238,700136,251102,2021-03-11 18:02:11
116,6,Chandigarh,35985,31291,4694,2021-03-11 18:02:11
117,7,Chhattisgarh,654257,493314,160943,2021-03-11 18:02:11
118,8,Dadra and Nagar Haveli,7777,6136,1641,2021-03-11 18:02:11
119,9,Delhi,516393,415311,101082,2021-03-11 18:02:11
120,10,Goa,50241,40416,9825,2021-03-11 18:02:11
121,11,Gujarat,1776794,1341506,435288,2021-03-11 18:02:11
122,12,Haryana,339664,245903,93761,2021-03-11 18:02:11
123,13,Himachal Pradesh,157123,102129,54994,2021-03-11 18:02:11
124,14,Jammu and Kashmir,337754,300043,37711,2021-03-11 18:02:11
125,15,Jharkhand,447790,337027,110763,2021-03-11 18:02:11
126,16,Karnataka,895311,593671,301640,2021-03-11 18:02:11
127,17,Kerala,991390,741593,249797,2021-03-11 18:02:11
128,18,Ladakh,25981,23271,2710,2021-03-11 18:02:11
129,19,Lakshadweep,2056,1589,467,2021-03-11 18:02:11
130,20,Madhya Pradesh,983629,704997,278632,2021-03-11 18:02:11
131,21,Maharashtra,1804040,1455318,348722,2021-03-11 18:02:11
132,22,Manipur,70643,62455,8188,2021-03-11 18:02:11
133,23,Meghalaya,58153,49019,9134,2021-03-11 18:02:11
134,24,Mizoram,43830,33883,9947,2021-03-11 18:02:11
135,25,Nagaland,39893,31808,8085,2021-03-11 18:02:11
136,26,Odisha,758859,527341,231518,2021-03-11 18:02:11
137,27,Puducherry,21232,18039,3193,2021-03-11 18:02:11
138,28,Punjab,269417,212562,56855,2021-03-11 18:02:11
139,29,Rajasthan,2089766,1689250,400516,2021-03-11 18:02:11
140,30,Sikkim,37745,30440,7305,2021-03-11 18:02:11
141,31,Tamil Nadu,896925,797555,99370,2021-03-11 18:02:11
142,32,Telangana,451030,258992,192038,2021-03-11 18:02:11
143,33,Tripura,127690,88696,38994,2021-03-11 18:02:11
144,34,Uttar Pradesh,1741241,1201576,539665,2021-03-11 18:02:11
145,35,Uttarakhand,242959,170793,72166,2021-03-11 18:02:11
146,36,West Bengal,1799367,1483726,315641,2021-03-11 18:02:11
147,37,Daman and Diu,5892,4887,1005,2021-03-11 18:02:11
148,1,Andaman and Nicobar Islands,11321,8735,2586,2021-03-12 18:01:04
149,2,Andhra Pradesh,836713,605519,231194,2021-03-12 18:01:04
150,3,Arunachal Pradesh,46763,34659,12104,2021-03-12 18:01:04
151,4,Assam,480215,399574,80641,2021-03-12 18:01:04
152,5,Bihar,1035324,766055,269269,2021-03-12 18:01:04
153,6,Chandigarh,38246,33091,5155,2021-03-12 18:01:04
154,7,Chhattisgarh,699746,523516,176230,2021-03-12 18:01:04
155,8,Dadra and Nagar Haveli,8481,6511,1970,2021-03-12 18:01:04
156,9,Delhi,535790,425063,110727,2021-03-12 18:01:04
157,10,Goa,55578,44297,11281,2021-03-12 18:01:04
158,11,Gujarat,1939543,1459292,480251,2021-03-12 18:01:04
159,12,Haryana,374228,273843,100385,2021-03-12 18:01:04
160,13,Himachal Pradesh,174855,113763,61092,2021-03-12 18:01:04
161,14,Jammu and Kashmir,340719,300849,39870,2021-03-12 18:01:04
162,15,Jharkhand,478240,353250,124990,2021-03-12 18:01:04
163,16,Karnataka,995796,677816,317980,2021-03-12 18:01:04
164,17,Kerala,1073841,804825,269016,2021-03-12 18:01:04
165,18,Ladakh,28496,25696,2800,2021-03-12 18:01:04
166,19,Lakshadweep,2275,1605,670,2021-03-12 18:01:04
167,20,Madhya Pradesh,988814,708706,280108,2021-03-12 18:01:04
168,21,Maharashtra,1991425,1608619,382806,2021-03-12 18:01:04
169,22,Manipur,73372,63713,9659,2021-03-12 18:01:04
170,23,Meghalaya,60267,50138,10129,2021-03-12 18:01:04
171,24,Mizoram,45491,35460,10031,2021-03-12 18:01:04
172,25,Nagaland,40999,32272,8727,2021-03-12 18:01:04
173,26,Odisha,822415,568356,254059,2021-03-12 18:01:04
174,27,Puducherry,22707,19243,3464,2021-03-12 18:01:04
175,28,Punjab,289493,228262,61231,2021-03-12 18:01:04
176,29,Rajasthan,2252698,1824080,428618,2021-03-12 18:01:04
177,30,Sikkim,40751,33168,7583,2021-03-12 18:01:04
178,31,Tamil Nadu,986482,877535,108947,2021-03-12 18:01:04
179,32,Telangana,479057,274591,204466,2021-03-12 18:01:04
180,33,Tripura,137876,93086,44790,2021-03-12 18:01:04
181,34,Uttar Pradesh,1991674,1391469,600205,2021-03-12 18:01:04
182,35,Uttarakhand,266217,185891,80326,2021-03-12 18:01:04
183,36,West Bengal,1968917,1627473,341444,2021-03-12 18:01:04
184,37,Daman and Diu,6291,5237,1054,2021-03-12 18:01:04
185,1,Andaman and Nicobar Islands,11638,8899,2739,2021-03-13 18:01:15
186,2,Andhra Pradesh,880781,643558,237223,2021-03-13 18:01:15
187,3,Arunachal Pradesh,48082,35535,12547,2021-03-13 18:01:15
188,4,Assam,496585,412415,84170,2021-03-13 18:01:15
189,5,Bihar,1151988,861293,290695,2021-03-13 18:01:15
190,6,Chandigarh,40476,34812,5664,2021-03-13 18:01:15
191,7,Chhattisgarh,753546,562201,191345,2021-03-13 18:01:15
192,8,Dadra and Nagar Haveli,8867,6723,2144,2021-03-13 18:01:15
193,9,Delhi,559943,438473,121470,2021-03-13 18:01:15
194,10,Goa,59300,47633,11667,2021-03-13 18:01:15
195,11,Gujarat,2067458,1556573,510885,2021-03-13 18:01:15
196,12,Haryana,390612,287782,102830,2021-03-13 18:01:15
197,13,Himachal Pradesh,181638,118426,63212,2021-03-13 18:01:15
198,14,Jammu and Kashmir,376795,322087,54708,2021-03-13 18:01:15
199,15,Jharkhand,506091,368465,137626,2021-03-13 18:01:15
200,16,Karnataka,1048310,722840,325470,2021-03-13 18:01:15
201,17,Kerala,1122882,842896,279986,2021-03-13 18:01:15
202,18,Ladakh,30962,28070,2892,2021-03-13 18:01:15
203,19,Lakshadweep,2510,1657,853,2021-03-13 18:01:15
204,20,Madhya Pradesh,1128200,795662,332538,2021-03-13 18:01:15
205,21,Maharashtra,2123060,1711588,411472,2021-03-13 18:01:15
206,22,Manipur,74264,64162,10102,2021-03-13 18:01:15
207,23,Meghalaya,61873,50922,10951,2021-03-13 18:01:15
208,24,Mizoram,45897,35797,10100,2021-03-13 18:01:15
209,25,Nagaland,41434,32391,9043,2021-03-13 18:01:15
210,26,Odisha,878668,610148,268520,2021-03-13 18:01:15
211,27,Puducherry,24482,20721,3761,2021-03-13 18:01:15
212,28,Punjab,308163,243504,64659,2021-03-13 18:01:15
213,29,Rajasthan,2438590,1994521,444069,2021-03-13 18:01:15
214,30,Sikkim,41234,33649,7585,2021-03-13 18:01:15
215,31,Tamil Nadu,1082917,963536,119381,2021-03-13 18:01:15
216,32,Telangana,495638,287950,207688,2021-03-13 18:01:15
217,33,Tripura,143379,96147,47232,2021-03-13 18:01:15
